DOY,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8
176,6.123121067,6.424657069,7.290830364,6.631602107,6.407096529,6.278909335,7.133921716,6.474678943
177,5.093990877,5.346993728,6.036776116,5.524430597,5.318468714,5.225990858,5.910268391,5.401349729
178,6.180254168,6.489779627,7.289752473,6.711370046,6.438504933,6.343271398,7.141093015,6.570986959
179,5.66161632,5.947492319,6.64695857,6.15619961,5.885446851,5.813548164,6.515138424,6.035686333
180,2.899919148,3.047522853,3.388916349,3.157313065,3.008119657,2.979051928,3.323604138,3.099676143
181,5.111270729,5.373477316,5.945828502,5.572016509,5.290759921,5.253030495,5.834553042,5.477547755
182,5.333072609,5.608766426,6.175689079,5.821101509,5.50878986,5.48333709,6.063542412,5.72986895
183,4.978968372,5.238301104,5.739676498,5.441313894,5.132359301,5.121425182,5.638624992,5.362902439
184,5.172826451,5.444251537,5.936514867,5.660069683,5.321252373,5.323056067,5.835273005,5.585545274
185,5.53848082,5.831202223,6.327981381,6.06745903,5.685831857,5.701684102,6.223542566,5.995006073
186,4.712447484,4.963284492,5.360521317,5.168661118,4.828100363,4.853288651,5.274986903,5.113182704
187,4.675998893,4.926634101,5.295851014,5.134692326,4.781227824,4.817690345,5.214240329,5.085689679
188,5.306550499,5.592932441,5.983967317,5.833834521,5.415285275,5.469523491,5.895008992,5.785003289
189,5.254550009,5.540032333,5.899870821,5.783257544,5.351766569,5.418053528,5.815362441,5.741537326
190,4.573979106,4.824125675,5.113821168,5.039876887,4.649613644,4.718135534,5.043336013,5.009264991
191,4.237000783,4.470219522,4.717027804,4.673763345,4.298833542,4.37221184,4.654552678,4.650628585
192,4.994814473,5.271494686,5.537347162,5.515739603,5.058119099,5.156160267,5.466979948,5.49455044
193,6.049927751,6.387147889,6.679114229,6.688130177,6.115128272,6.247692484,6.597811276,6.669747231
194,5.164797215,5.45444703,5.678346245,5.715733505,5.210774978,5.335599129,5.612253216,5.706184582
195,4.598297519,4.857731657,5.034762987,5.094177557,4.630710428,4.752099594,4.97883658,5.091083303
196,5.087373044,5.376100695,5.547562491,5.64187116,5.113913621,5.259430481,5.488878134,5.644361437
197,5.694909887,6.019998882,6.184936659,6.322129225,5.714306473,5.889613731,6.122774746,6.331461061
198,6.77686344,7.165928127,7.330437275,7.530895947,6.78781171,7.011027943,7.260619027,7.549699655
199,6.103324261,6.455691376,6.57556612,6.789226971,6.102380428,6.316414661,6.516385441,6.813017216
200,5.108452767,5.405013346,5.481940287,5.688187549,5.098721542,5.288628305,5.435467155,5.713773317
201,5.5679352,5.892927923,5.951546186,6.205890471,5.547692145,5.766278151,5.904191835,6.239892204
202,6.34257196,6.71475932,6.753114482,7.076126837,6.308657369,6.570718776,6.702887991,7.12174697
203,6.52084734,6.905509358,6.916048405,7.281979727,6.474942491,6.757653326,6.868188398,7.335885396
204,6.393451799,6.772551088,6.754865937,7.146462192,6.337741356,6.627809767,6.71160466,7.206105686
205,6.349711437,6.728134872,6.683048294,7.104198719,6.283869129,6.584605887,6.643681849,7.170104939
206,5.677241565,6.017283834,5.952632078,6.357686554,5.609074902,5.889151787,5.920617498,6.422512392
207,4.971249883,5.249386795,5.188925699,5.542264268,4.907254753,5.130840505,5.152349464,5.589762512
208,5.812194604,6.114454172,6.039267317,6.45080488,5.732342747,5.968436023,5.986520611,6.495509489
