DOY,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8
176,0.553127468,0.580366492,0.658611596,0.599060714,0.578780174,0.567200482,0.644437373,0.58488518
177,0.556720314,0.584370899,0.659756953,0.603762907,0.581253411,0.571146542,0.645930972,0.590311446
178,0.560313161,0.588375306,0.660902309,0.608465099,0.583726648,0.575092602,0.647424571,0.595737712
179,0.563906008,0.592379713,0.662047666,0.613167292,0.586199886,0.579038662,0.64891817,0.601163977
180,0.567498855,0.59638412,0.663193023,0.617869484,0.588673123,0.582984722,0.650411769,0.606590243
181,0.571091702,0.600388527,0.66433838,0.622571677,0.59114636,0.586930782,0.651905368,0.612016509
182,0.574684548,0.604392934,0.665483737,0.62727387,0.593619597,0.590876842,0.653398967,0.617442775
183,0.578277395,0.608397341,0.666629094,0.631976062,0.596092834,0.594822901,0.654892566,0.622869041
184,0.581870242,0.612401748,0.667774451,0.636678255,0.598566071,0.598768961,0.656386165,0.628295306
185,0.585463089,0.616406155,0.668919808,0.641380447,0.601039308,0.602715021,0.657879764,0.633721572
186,0.589055936,0.620410562,0.670065165,0.64608264,0.603512545,0.606661081,0.659373363,0.639147838
187,0.592648782,0.624414968,0.671210521,0.650784832,0.605985783,0.610607141,0.660866962,0.644574104
188,0.596241629,0.628419375,0.672355878,0.655487025,0.60845902,0.614553201,0.662360561,0.65000037
189,0.599834476,0.632423782,0.673501235,0.660189217,0.610932257,0.618499261,0.66385416,0.655426635
190,0.603427323,0.636428189,0.674646592,0.66489141,0.613405494,0.622445321,0.665347759,0.660852901
191,0.607020169,0.640432596,0.675791949,0.669593602,0.615878731,0.626391381,0.666841358,0.666279167
192,0.610613016,0.644437003,0.676937306,0.674295795,0.618351968,0.630337441,0.668334957,0.671705433
193,0.614205863,0.64844141,0.678082663,0.678997988,0.620825205,0.634283501,0.669828556,0.677131699
194,0.61779871,0.652445817,0.67922802,0.68370018,0.623298442,0.638229561,0.671322155,0.682557964
195,0.621391557,0.656450224,0.680373377,0.688402373,0.625771679,0.642175621,0.672815754,0.68798423
196,0.624984403,0.660454631,0.681518734,0.693104565,0.628244917,0.646121681,0.674309353,0.693410496
197,0.62857725,0.664459038,0.68266409,0.697806758,0.630718154,0.650067741,0.675802952,0.698836762
198,0.632170097,0.668463445,0.683809447,0.70250895,0.633191391,0.654013801,0.677296551,0.704263028
199,0.635762944,0.672467852,0.684954804,0.707211143,0.635664628,0.657959861,0.67879015,0.709689293
200,0.639355791,0.676472259,0.686100161,0.711913335,0.638137865,0.661905921,0.680283749,0.715115559
201,0.642948637,0.680476665,0.687245518,0.716615528,0.640611102,0.66585198,0.681777348,0.720541825
202,0.646541484,0.684481072,0.688390875,0.72131772,0.643084339,0.66979804,0.683270947,0.725968091
203,0.650134331,0.688485479,0.689536232,0.726019913,0.645557576,0.6737441,0.684764546,0.731394356
204,0.653727178,0.692489886,0.690681589,0.730722106,0.648030814,0.67769016,0.686258145,0.736820622
205,0.657320025,0.696494293,0.691826946,0.735424298,0.650504051,0.68163622,0.687751744,0.742246888
206,0.660912871,0.7004987,0.692972302,0.740126491,0.652977288,0.68558228,0.689245343,0.747673154
